ORDER_ID,PRODUCT_ID,QUANTITY
30,573,5
163,781,4
392,3,3
511,42,7
586,635,6
578,305,1
325,104,6
556,213,9
150,356,4
249,457,5
425,281,10
317,724,10
495,260,1
314,312,6
375,502,5
382,552,6
378,405,3
190,817,10
471,653,6
215,905,3
539,490,5
364,512,10
404,797,4
265,468,10
527,625,7
281,339,1
354,391,1
410,710,10
225,924,9
236,571,8
234,554,1
135,163,2
317,53,2
390,61,9
285,79,5
584,968,5
570,516,3
477,438,2
586,18,5
447,747,9
228,117,7
242,342,8
259,222,1
442,162,6
585,232,4
378,907,7
402,581,7
389,56,6
150,118,8
107,79,6
108,963,10
578,546,3
325,792,10
356,621,10
80,533,5
340,640,5
262,684,8
216,430,9
107,2,6
510,133,9
514,517,6
32,313,5
303,730,9
27,157,2
569,37,2
425,153,8
96,180,10
394,856,2
235,415,9
340,139,1
594,517,8
77,356,8
255,341,3
504,283,8
579,354,4
442,713,6
484,331,9
334,791,6
132,88,7
66,242,6
37,891,7
472,868,7
391,818,8
539,929,1
568,17,6
14,888,3
510,468,10
447,507,7
382,340,6
528,790,5
163,212,5
46,61,8
195,569,6
546,626,9
155,809,9
390,833,9
238,322,8
202,444,6
198,9,3
150,568,3
321,724,1
348,604,9
568,447,9
30,145,10
510,883,10
342,698,4
317,801,1
78,823,3
308,85,6
71,111,5
593,376,4
530,234,9
334,195,1
234,530,2
303,219,6
96,895,1
89,544,6
522,559,10
410,216,10
193,118,4
215,654,9
475,830,3
231,72,6
367,669,7
510,895,7
30,163,1
551,809,5
334,942,6
190,692,10
63,489,7
344,41,3
317,925,3
332,659,4
238,507,4
37,876,6
115,949,8
81,500,4
46,965,8
329,190,8
524,277,5
586,189,8
391,663,6
349,871,8
382,796,4
32,574,7
28,102,5
115,264,8
312,49,9
120,41,8
70,408,2
188,525,6
382,92,3
392,355,9
215,360,8
111,223,7
87,56,9
511,756,9
342,687,2
514,442,3
491,160,2
380,846,4
201,371,8
420,172,9
317,512,6
407,718,5
330,398,9
59,151,9
591,684,5
102,771,2
261,922,7
507,411,10
323,201,1
208,418,1
570,150,1
71,51,10
358,765,9
77,647,5
593,453,9
28,824,3
478,822,9
375,194,4
281,52,4
128,372,4
144,167,4
229,504,10
479,941,9
530,658,1
134,732,1
543,923,10
474,472,9
445,355,9
340,736,2
390,880,7
344,727,7
323,482,4
70,3,9
526,191,3
403,828,8
260,972,5
511,762,7
515,374,3
178,423,8
96,975,6
427,901,4
378,856,3
362,900,8
14,757,10
445,332,10
380,361,1
107,855,3
477,429,5
255,78,10
584,705,6
295,81,4
578,123,2
507,670,6
514,351,6
63,287,8
530,219,4
591,63,6
28,611,7
66,70,3
546,84,2
374,361,4
432,591,4
585,82,10
111,372,2
193,34,7
63,271,10
30,613,2
216,114,6
233,441,1
509,897,2
29,582,7
16,391,10
228,819,5
426,26,2
150,696,1
395,105,5
366,848,7
348,91,2
265,877,7
163,524,7
248,527,7
511,553,4
375,739,7
356,759,2
551,740,3
91,708,3
472,390,4
509,809,1
249,703,1
193,645,6
594,482,1
30,475,4
535,369,10
152,56,1
80,705,1
295,408,8
551,980,8
135,580,5
496,412,7
75,858,3
285,58,7
163,71,6
48,74,1
188,165,10
242,777,8
585,761,3
398,838,2
148,134,5
312,404,1
532,31,10
378,388,5
511,103,6
248,752,6
561,220,10
514,309,1
193,78,9
356,991,10
375,488,1
111,621,1
107,883,4
465,699,9
48,184,8
345,695,7
344,131,1
45,962,3
354,835,3
235,786,10
362,952,4
108,834,5
367,574,2
373,163,9
120,328,1
233,865,2
329,939,8
551,981,9
332,794,3
30,833,5
585,246,4
123,750,10
259,455,5
519,865,3
445,394,4
496,822,1
262,984,9
584,592,9
228,170,5
522,470,10
389,327,4
262,387,2
190,256,10
524,644,3
578,44,3
512,386,6
515,470,1
548,804,8
514,324,6
543,992,2
37,580,1
80,910,9
522,403,2
585,3,6
152,127,3
519,73,2
46,489,9
479,192,9
111,49,5
193,401,3
108,91,4
394,821,1
91,540,10
510,715,6
