ID,DATE,CUSTOMER_ID
1,2023-08-10,426
6,2023-11-08,530
14,2023-12-11,741
16,2023-08-25,20
19,2023-12-10,610
27,2023-03-18,339
28,2024-01-14,795
29,2023-03-30,633
30,2023-08-10,423
32,2023-10-29,589
37,2024-03-04,808
45,2023-07-28,193
46,2023-12-10,915
48,2023-12-26,886
59,2023-08-20,232
63,2023-09-29,185
65,2023-07-15,618
66,2023-10-09,637
70,2023-03-26,401
71,2024-01-21,824
75,2023-11-28,606
77,2023-03-27,507
78,2023-10-17,630
80,2023-08-22,714
81,2023-07-14,996
82,2023-09-04,68
87,2023-12-18,56
89,2023-03-09,658
91,2023-09-05,269
96,2024-01-03,741
102,2023-04-10,288
104,2023-09-08,59
105,2023-11-10,703
107,2023-09-25,413
108,2023-11-08,346
111,2023-10-08,68
115,2023-09-14,269
120,2023-10-15,397
123,2023-09-04,320
128,2023-08-11,318
132,2024-01-21,630
134,2023-08-12,594
135,2024-01-21,833
143,2023-10-04,834
144,2024-01-21,474
147,2023-07-25,288
148,2023-07-22,154
150,2023-12-20,322
152,2024-02-06,606
155,2023-05-15,434
160,2023-06-10,308
163,2023-07-02,436
178,2023-11-05,16
188,2023-09-23,900
190,2023-10-28,836
193,2023-06-05,346
195,2024-02-09,480
198,2023-12-28,915
199,2023-03-21,453
201,2023-09-09,739
202,2024-01-25,716
208,2023-10-24,680
215,2023-03-11,405
216,2023-08-11,454
224,2023-11-14,599
225,2023-06-22,689
226,2023-07-20,233
228,2023-09-04,206
229,2024-01-02,729
231,2023-07-10,79
233,2023-08-18,185
234,2023-09-22,10
235,2023-10-16,960
236,2023-09-04,726
238,2023-10-12,808
239,2024-01-04,331
242,2024-02-20,233
248,2023-05-02,184
249,2024-02-15,490
250,2023-04-21,482
255,2023-10-10,41
259,2023-06-03,388
260,2023-08-27,210
261,2023-03-21,549
262,2024-03-05,426
264,2023-06-02,618
265,2023-10-13,799
281,2023-12-08,34
284,2023-11-23,62
285,2023-04-03,846
292,2023-11-19,992
293,2023-03-13,731
295,2023-08-27,658
303,2023-07-22,417
307,2023-09-18,401
308,2023-04-27,494
312,2023-03-15,643
314,2023-11-09,446
317,2023-08-23,14
321,2023-11-11,394
323,2023-10-03,205
325,2024-03-05,273
326,2023-12-05,900
329,2023-05-12,406
330,2023-05-29,378
332,2023-09-09,729
334,2024-03-01,154
340,2023-11-16,446
342,2023-03-23,436
344,2023-12-22,883
345,2023-08-24,637
348,2023-06-01,804
349,2023-05-01,6
350,2024-02-11,139
354,2023-10-01,472
356,2024-03-06,743
358,2023-07-30,833
362,2023-04-07,394
364,2023-11-10,670
366,2023-11-25,716
367,2023-07-31,10
373,2023-05-20,518
374,2023-07-12,156
375,2023-06-07,205
378,2023-04-17,273
380,2023-10-19,5
382,2023-09-05,303
389,2023-06-24,909
390,2023-04-14,292
391,2023-04-04,774
392,2023-09-13,613
394,2023-09-22,824
395,2023-08-31,167
397,2023-03-18,994
398,2023-06-25,406
402,2023-11-24,576
403,2023-05-12,673
404,2023-08-22,473
407,2023-04-13,598
408,2023-05-12,545
410,2023-12-24,326
414,2024-02-05,884
416,2023-08-20,352
420,2023-09-20,846
425,2023-11-29,670
426,2023-12-25,692
427,2024-01-20,232
430,2024-01-27,31
431,2023-08-16,966
432,2023-07-30,138
436,2023-05-26,58
442,2023-06-07,170
444,2023-11-15,590
445,2024-03-06,518
446,2023-10-03,482
447,2023-05-22,430
465,2023-11-19,464
471,2023-07-10,828
472,2024-01-15,36
474,2024-02-07,22
475,2023-03-31,836
477,2024-01-27,406
478,2023-05-24,741
479,2023-03-12,569
484,2023-04-02,515
491,2023-11-03,553
492,2023-09-01,210
495,2023-08-09,242
496,2023-12-19,203
503,2023-05-02,417
504,2023-08-05,673
507,2024-02-17,672
509,2023-06-23,55
510,2023-04-26,6
511,2023-03-18,607
512,2023-12-25,594
514,2023-06-01,421
515,2024-03-03,576
516,2023-06-09,966
519,2023-07-12,219
522,2023-09-23,984
524,2024-02-13,3
526,2023-07-03,824
527,2024-02-10,446
528,2023-04-04,243
530,2023-09-15,668
532,2023-07-23,140
533,2023-11-07,974
535,2023-05-16,500
539,2023-05-26,689
543,2023-09-07,269
546,2023-12-11,52
547,2023-10-31,729
548,2024-03-05,116
551,2023-09-18,912
556,2023-10-28,776
561,2023-09-21,259
563,2023-11-01,790
568,2023-08-18,34
569,2023-04-20,701
570,2024-01-22,841
578,2024-01-08,598
579,2023-12-22,55
584,2023-05-31,266
585,2023-05-05,421
586,2023-09-15,984
591,2023-08-03,633
593,2023-08-19,716
594,2023-09-26,326
