ID,DATE,CUSTOMER_ID
3,2024-01-28,761
8,2024-03-08,907
9,2023-04-03,691
10,2023-10-28,591
24,2023-07-25,213
26,2023-09-02,164
33,2023-05-07,12
34,2023-06-23,816
36,2023-06-27,982
38,2023-07-12,369
41,2023-09-28,525
47,2023-12-01,592
49,2023-03-18,425
50,2023-09-25,298
51,2024-01-31,101
53,2023-12-29,262
54,2023-03-21,640
55,2023-11-24,257
56,2024-01-11,999
67,2023-05-30,827
69,2024-01-31,964
74,2023-12-10,595
79,2023-08-20,120
83,2023-03-30,895
86,2023-12-19,999
88,2023-09-22,696
92,2024-02-14,390
93,2023-06-30,973
95,2023-04-09,928
100,2023-06-08,296
106,2023-10-11,432
110,2024-02-26,803
114,2023-07-24,97
118,2023-12-03,35
122,2023-05-01,708
129,2023-03-25,891
130,2023-07-28,50
136,2023-07-02,35
138,2024-01-14,486
139,2023-08-06,425
140,2024-01-09,922
145,2023-03-14,525
149,2023-04-07,522
154,2023-03-22,208
156,2023-09-13,571
159,2023-12-14,37
162,2024-01-07,762
165,2024-02-18,931
166,2023-08-11,418
167,2023-10-18,860
170,2023-10-01,805
171,2023-04-30,803
173,2024-02-29,160
176,2023-06-15,286
179,2024-02-26,644
181,2023-04-13,264
189,2023-06-02,82
191,2023-04-05,801
192,2023-08-30,894
197,2024-02-14,587
203,2023-10-20,942
205,2023-03-09,298
206,2023-09-08,852
210,2023-08-21,823
211,2023-12-06,261
212,2023-10-09,143
220,2023-09-04,762
222,2024-01-27,508
223,2023-03-28,369
232,2023-12-20,525
244,2023-12-06,727
245,2023-05-26,827
247,2023-04-30,694
252,2023-08-12,42
254,2023-10-21,216
257,2023-08-13,294
263,2023-07-15,999
266,2023-10-21,982
272,2023-12-29,163
273,2024-02-22,985
275,2023-04-17,120
276,2023-05-10,656
277,2023-05-18,894
278,2024-02-01,106
283,2023-04-11,48
288,2023-06-11,873
290,2023-11-19,745
297,2023-08-07,814
298,2023-04-27,713
301,2023-08-16,338
304,2023-09-08,501
318,2024-01-05,811
320,2023-12-24,71
327,2023-09-17,164
331,2023-07-06,95
333,2023-09-04,222
335,2023-12-10,301
336,2023-12-10,240
337,2023-08-06,801
338,2023-10-04,296
343,2024-03-04,875
346,2023-11-12,235
353,2023-03-21,693
357,2023-08-16,208
360,2024-01-23,522
361,2023-05-13,400
363,2023-04-15,305
365,2023-03-10,699
376,2023-07-21,757
379,2024-01-04,227
383,2023-11-05,810
393,2023-08-01,144
401,2023-09-15,577
406,2023-05-27,169
411,2023-04-06,640
412,2023-10-03,975
417,2023-11-10,129
418,2023-10-15,35
423,2024-03-05,674
429,2023-09-07,228
433,2023-04-04,745
434,2023-12-16,478
435,2023-06-20,634
443,2023-09-27,64
449,2023-09-27,571
450,2023-09-14,262
453,2023-12-09,508
454,2023-09-13,907
456,2023-07-11,82
459,2023-04-07,402
462,2024-02-04,561
467,2023-05-03,63
468,2023-10-19,380
469,2023-08-25,366
482,2023-08-17,92
486,2023-06-17,696
487,2023-04-06,324
494,2023-12-24,265
498,2023-05-13,859
499,2023-06-01,759
500,2023-10-09,842
501,2023-11-08,101
506,2023-11-26,268
508,2023-10-05,164
518,2023-09-26,362
520,2023-05-24,250
521,2023-11-23,345
525,2023-09-23,508
536,2023-12-11,781
538,2023-04-01,837
542,2023-05-23,487
544,2023-07-21,873
550,2023-05-16,644
552,2023-10-18,30
553,2023-10-31,622
554,2023-09-28,447
555,2023-03-30,107
558,2023-08-26,786
559,2023-12-14,271
565,2024-02-27,583
571,2023-04-10,928
575,2023-11-12,839
577,2023-04-17,781
581,2023-12-25,284
583,2024-01-30,860
587,2023-06-06,578
588,2023-07-04,144
589,2024-01-03,478
590,2024-01-30,753
595,2023-07-18,646
596,2023-06-11,541
597,2023-04-07,750
600,2023-04-19,699
