ORDER_ID,PRODUCT_ID,QUANTITY
523,524,1
457,411,4
219,119,7
218,231,1
517,763,9
328,923,8
200,909,3
97,565,2
253,106,5
84,754,9
461,259,8
328,504,1
359,889,6
439,913,5
196,729,7
194,725,7
131,883,7
409,777,9
270,969,2
240,984,1
355,510,8
359,223,1
61,229,6
291,233,1
119,139,1
369,814,2
299,797,8
174,741,2
368,126,1
21,659,8
2,608,9
386,434,3
441,358,5
17,244,8
461,957,7
40,363,6
311,974,7
316,592,10
377,198,1
22,121,5
490,316,9
313,504,1
370,755,10
157,845,8
279,562,3
180,402,1
200,357,6
415,848,2
452,332,9
300,99,9
127,785,1
549,255,9
243,438,7
439,208,3
175,3,4
109,76,6
405,306,5
141,475,5
369,74,1
217,584,7
438,635,6
13,248,1
269,797,5
580,649,1
72,679,1
18,57,3
405,841,9
490,588,9
289,21,9
213,998,2
513,85,4
60,598,9
415,611,6
437,41,4
549,937,2
241,441,4
58,968,8
18,136,2
386,313,3
116,701,10
564,899,6
117,612,2
42,552,4
237,981,2
523,433,1
424,656,9
161,774,3
151,157,1
204,458,1
109,846,1
4,262,6
537,243,1
493,792,9
58,486,1
466,585,4
529,853,4
422,865,9
386,872,5
488,6,7
116,336,8
419,798,10
113,860,1
94,729,1
309,960,4
2,648,8
35,804,6
483,624,10
62,929,2
184,377,10
322,283,10
103,831,9
73,962,10
409,776,5
476,813,7
146,734,10
505,209,10
531,28,4
113,581,8
355,967,1
396,66,7
497,319,3
369,239,10
381,29,2
40,560,6
200,426,7
271,760,4
562,116,10
251,131,2
545,320,5
322,807,10
531,991,4
172,167,9
339,796,2
573,241,2
572,281,6
137,32,3
302,148,4
23,815,8
90,932,4
355,891,7
213,856,7
62,785,2
214,310,8
400,436,4
480,6,9
43,692,3
22,845,3
513,836,1
116,13,7
43,345,1
44,154,3
400,629,2
458,357,1
540,638,5
133,371,2
97,583,8
437,918,3
384,97,4
58,955,2
11,3,1
419,137,8
437,972,10
355,896,5
396,628,7
415,346,9
125,456,7
428,374,7
441,192,10
505,882,4
196,803,5
268,399,4
424,364,9
187,423,4
289,524,9
97,774,5
182,209,2
2,241,7
576,97,1
267,240,2
241,126,6
483,727,6
85,23,10
137,183,5
302,430,10
237,137,9
121,433,10
23,423,2
72,141,6
485,363,2
540,302,5
396,34,6
387,825,7
369,254,5
400,819,5
99,135,6
305,826,10
258,392,7
580,832,10
387,138,4
309,41,1
58,726,10
280,173,6
68,797,3
43,9,7
287,177,8
214,744,6
458,663,2
480,880,3
142,995,9
473,185,6
488,74,3
64,986,7
23,310,2
213,978,1
328,385,2
194,90,7
161,148,4
117,162,2
576,915,9
409,947,5
99,349,8
84,843,2
153,328,4
490,74,9
94,995,9
25,599,10
90,607,7
11,39,6
103,433,4
268,826,8
99,948,3
386,571,4
218,260,4
23,167,3
424,755,3
441,200,4
576,757,8
25,174,7
72,52,7
513,39,7
457,460,9
186,469,6
572,541,10
175,350,6
153,17,9
185,958,2
57,490,9
368,983,4
439,236,1
464,541,7
324,545,10
168,551,4
534,104,8
18,15,6
219,926,7
23,640,10
230,646,1
180,895,5
422,842,2
240,726,5
415,350,9
419,593,5
274,464,3
23,761,10
98,834,8
567,845,6
101,565,6
339,576,10
557,774,4
151,78,9
369,294,8
217,712,9
309,835,5
42,42,10
305,877,10
371,917,6
572,274,3
560,926,3
280,631,8
300,278,2
221,19,10
316,480,10
39,471,1
387,200,8
461,351,10
60,53,2
421,778,10
413,467,8
116,536,4
313,161,9
40,176,9
169,993,8
560,165,2
2,369,8
219,689,4
72,636,7
187,743,2
381,108,3
448,788,2
289,612,5
455,947,9
15,238,4
341,944,8
440,632,6
369,498,10
560,83,8
217,876,5
419,395,10
289,719,6
241,493,7
68,210,6
194,840,9
180,101,1
441,17,5
274,628,7
21,528,4
419,32,4
271,658,1
409,457,4
529,26,9
5,925,5
287,451,8
440,129,5
328,431,2
280,474,5
64,125,6
347,809,5
598,633,9
20,416,5
582,285,1
62,496,2
217,651,3
243,525,7
531,25,2
133,428,6
289,819,6
42,310,5
541,250,6
72,80,4
31,922,5
207,373,5
151,690,5
572,245,2
549,658,5
289,801,10
240,494,4
299,642,6
388,454,7
419,528,8
424,731,1
279,792,8
421,684,6
137,892,4
18,559,5
531,886,2
40,87,1
183,653,3
399,871,5
76,259,10
282,177,7
560,517,8
187,147,1
204,865,6
315,424,6
464,638,6
